match_id,account_id,hero_id,kills,deaths,assists,last_hits,xp_per_min,gold_per_min,team_id
6806663153,86799300,102,0,4,7,51,361,222,7390454
6806663153,221666230,52,6,4,5,300,578,526,7390454
6806663153,87063175,137,6,4,6,178,462,378,7390454
6806663153,108452107,10,2,0,1,331,647,535,7390454
6806663153,86726887,128,2,6,10,42,301,187,7390454
6806663153,898754153,6,4,3,8,372,796,686,15
6806663153,173978074,106,8,1,8,320,808,647,15
6806663153,118134220,96,4,1,10,292,757,576,15
6806663153,157475523,88,2,8,9,21,431,254,15
6806663153,111114687,66,0,3,11,100,352,308,15
6806047576,100594231,128,1,5,14,80,365,307,7732977
6806047576,155494381,100,3,8,11,114,358,297,7732977
6806047576,324277900,137,7,3,13,340,645,546,7732977
6806047576,156328257,43,7,4,9,283,595,470,7732977
6806047576,392565237,12,4,4,7,482,630,606,7732977
6806047576,183719386,15,10,6,12,289,711,525,2586976
6806047576,93618577,106,9,3,13,437,777,715,2586976
6806047576,90125566,111,1,6,21,21,399,288,2586976
6806047576,167976729,109,2,3,12,643,594,811,2586976
6806047576,401792574,51,2,5,20,52,430,329,2586976
6806638898,100594231,75,3,7,6,62,291,255,7732977
6806638898,155494381,100,2,9,13,102,351,317,7732977
6806638898,324277900,52,8,5,3,471,670,642,7732977
6806638898,156328257,29,0,4,10,238,535,361,7732977
6806638898,392565237,14,5,3,5,433,651,538,7732977
6806638898,206642367,93,10,2,11,423,761,625,6209804
6806638898,106863163,106,12,2,10,485,732,691,6209804
6806638898,94738847,33,3,5,18,272,583,464,6209804
6806638898,139876032,19,1,7,24,113,592,335,6209804
6806638898,94296097,87,2,3,17,53,511,336,6209804
6806648571,125995177,5,2,2,24,44,462,352,8131728
6806648571,131303632,11,13,1,8,387,860,834,8131728
6806648571,138177198,33,2,3,17,198,547,472,8131728
6806648571,105045291,19,5,5,18,83,649,391,8131728
6806648571,191290281,14,11,3,16,244,811,588,8131728
6806648571,91730177,58,3,8,6,133,337,342,8599101
6806648571,116934015,46,3,7,5,345,633,570,8599101
6806648571,97590558,38,3,6,11,337,716,536,8599101
6806648571,190826739,65,4,6,8,256,582,463,8599101
6806648571,16497807,86,1,8,10,99,379,295,8599101
6806662696,183719386,129,1,5,2,161,399,376,2586976
6806662696,93618577,74,3,4,2,147,485,436,2586976
6806662696,90125566,128,0,11,2,54,214,192,2586976
6806662696,167976729,95,0,7,0,188,402,383,2586976
6806662696,401792574,119,1,7,2,24,254,170,2586976
6806662696,86745912,11,9,1,9,201,617,667,39
6806662696,154715080,137,12,1,13,128,673,559,39
6806662696,124801257,61,7,0,15,169,663,603,39
6806662696,94155156,85,2,2,14,32,314,292,39
6806662696,25907144,123,4,1,21,22,493,299,39
6806632563,117421467,50,0,6,4,45,314,259,8721219
6806632563,195108598,38,1,3,5,162,493,410,8721219
6806632563,159020918,51,2,8,4,37,262,235,8721219
6806632563,106305042,11,4,4,3,226,560,539,8721219
6806632563,177411785,65,3,5,5,122,434,364,8721219
6806632563,54580962,128,2,2,14,53,374,262,2163
6806632563,73562326,29,7,1,8,133,595,451,2163
6806632563,152962063,52,8,1,9,256,762,592,2163
6806632563,77490514,137,5,6,15,51,424,318,2163
6806632563,72312627,89,4,0,9,294,669,634,2163
6806534528,86745912,70,10,5,12,474,832,717,39
6806534528,154715080,52,7,3,17,476,780,684,39
6806534528,124801257,15,8,2,20,355,705,582,39
6806534528,94155156,128,3,10,18,93,536,344,39
6806534528,25907144,100,9,6,23,75,659,376,39
6806534528,183719386,98,9,7,9,393,651,519,2586976
6806534528,90125566,51,1,10,20,42,407,251,2586976
6806534528,93618577,126,8,5,11,328,748,513,2586976
6806534528,167976729,109,4,5,11,673,672,775,2586976
6806534528,401792574,119,4,11,16,49,445,264,2586976
6806566779,100471531,15,1,8,2,228,500,439,350190
6806566779,102099826,136,1,9,4,68,366,245,350190
6806566779,164532005,65,2,7,0,232,538,450,350190
6806566779,132309493,46,2,3,1,346,637,598,350190
6806566779,148526973,96,1,11,1,51,283,250,350190
6806566779,155332459,111,6,1,14,24,406,270,7391077
6806566779,408729743,135,6,1,18,234,720,520,7391077
6806566779,352545711,22,13,0,13,269,866,652,7391077
6806566779,117089283,5,3,2,17,53,427,308,7391077
6806566779,339235645,14,10,3,14,331,958,750,7391077
6806554071,375507918,106,1,4,2,432,627,544,8597976
6806554071,301750126,17,2,4,3,249,451,430,8597976
6806554071,87012746,92,2,7,3,171,353,343,8597976
6806554071,193815691,51,1,8,3,51,187,201,8597976
6806554071,143278997,87,1,8,4,31,253,191,8597976
6806554071,148215639,6,6,1,9,288,651,612,6209166
6806554071,183378746,64,5,4,12,58,476,346,6209166
6806554071,129958758,61,7,0,15,233,629,575,6209166
6806554071,207829314,128,3,2,16,94,462,344,6209166
6806554071,107803494,137,9,1,14,204,668,585,6209166
6806547123,10366616,5,2,2,18,53,451,321,8291895
6806547123,100058342,81,11,1,8,254,652,615,8291895
6806547123,94786276,76,10,1,5,210,695,622,8291895
6806547123,86698277,92,2,2,17,197,583,514,8291895
6806547123,103735745,19,0,2,15,94,516,318,8291895
6806547123,38628747,123,1,3,5,62,277,236,8260983
6806547123,238239590,136,3,5,2,138,348,341,8260983
6806547123,126212866,78,0,7,6,144,435,360,8260983
6806547123,145550466,37,3,7,1,27,240,205,8260983
6806547123,97658618,10,1,3,1,277,521,519,8260983
6806547565,54580962,85,1,0,24,41,479,358,2163
6806547565,73562326,38,7,2,17,212,633,564,2163
6806547565,152962063,17,13,1,12,252,818,616,2163
6806547565,77490514,137,10,3,14,95,698,415,2163
6806547565,72312627,14,6,5,13,249,671,584,2163
6806547565,117421467,110,2,8,5,91,384,286,8721219
6806547565,195108598,136,2,5,5,127,417,343,8721219
6806547565,159020918,58,2,13,6,63,195,243,8721219
6806547565,106305042,22,3,9,6,173,429,450,8721219
6806547565,177411785,41,1,2,8,214,517,441,8721219
6806472970,100471531,33,1,7,8,223,396,399,350190
6806472970,102099826,136,2,9,9,37,302,197,350190
6806472970,164532005,52,4,8,5,301,646,503,350190
6806472970,132309493,114,4,5,6,237,485,433,350190
6806472970,148526973,22,5,5,8,99,413,315,350190
6806472970,155332459,88,2,3,25,27,589,282,7391077
6806472970,408729743,135,8,5,14,280,771,567,7391077
6806472970,352545711,19,4,2,19,226,721,538,7391077
6806472970,117089283,5,3,5,16,39,411,313,7391077
6806472970,339235645,72,16,1,10,477,979,892,7391077
6806464370,375507918,41,2,5,8,388,706,590,8597976
6806464370,301750126,74,4,4,4,250,539,507,8597976
6806464370,87012746,137,3,9,4,216,428,368,8597976
6806464370,193815691,86,2,7,5,57,281,231,8597976
6806464370,143278997,128,2,7,5,46,308,204,8597976
6806464370,148215639,10,19,0,4,341,899,776,6209166
6806464370,207829314,51,0,6,15,100,411,332,6209166
6806464370,129958758,78,3,1,21,173,762,477,6209166
6806464370,107803494,52,9,2,14,328,853,635,6209166
6806464370,183378746,79,1,4,14,73,399,329,6209166
6806442183,10366616,112,4,10,9,57,450,275,8291895
6806442183,100058342,48,3,9,7,324,577,464,8291895
6806442183,94786276,9,3,3,6,283,639,468,8291895
6806442183,86698277,92,4,4,10,306,585,459,8291895
6806442183,103735745,7,2,11,10,196,473,362,8291895
6806442183,38628747,123,15,2,17,109,587,423,8260983
6806442183,238239590,11,15,4,8,551,889,854,8260983
6806442183,126212866,136,5,5,19,197,658,435,8260983
6806442183,145550466,37,0,1,22,63,455,325,8260983
6806442183,97658618,14,2,4,20,296,727,522,8260983
6806481932,292921272,77,2,5,2,83,339,339,8254400
6806481932,119631156,33,0,7,3,42,227,223,8254400
6806481932,164685175,93,1,5,0,97,368,350,8254400
6806481932,157989498,71,2,8,2,13,258,183,8254400
6806481932,153836240,11,0,9,4,98,372,335,8254400
6806481932,87278757,75,2,2,11,42,306,279,1838315
